SampleID	CONTIG_COUNT	TOTAL_LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	Telomeres_Found	Telomeres_Fwd	Telomeres_Rev	Telomeres_CompleteChrom	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
ATCC_42202.canu	15	28871739	20833	5211694	1736703	1924782.60	3	4702876	7	2016987	49.33	16	8	8	NA	95.6	95.5	0.1	1.7	2.7	3546
ATCC_42202.canu.medaka	15	28891430	20837	5215079	1737894	1926095.33	3	4706166	7	2018180	49.34	16	8	8	7	99.4	99.3	0.1	0.4	0.2	3546
ATCC_42202.canu.pilon	15	28891284	20838	5215017	1737870	1926085.60	3	4706161	7	2018151	49.34	16	8	8	7	99.8	99.7	0.1	0.1	0.1	3546
ATCC_42202.necat	11	28510176	26691	5213010	2595758	2591834.18	4	3761160	7	2017447	49.56	15	8	7	7	96.6	96.4	0.2	1.4	2.0	3546
ATCC_42202.necat.pilon	11	28520950	26695	5214921	2596764	2592813.64	4	3762644	7	2018092	49.56	15	8	7	7	99.7	99.5	0.2	0.1	0.2	3546
ATCC_46645.canu	21	30573908	26058	4632845	1214140	1455900.38	5	1958467	13	939171	49.11	15	8	7	NA	96.1	96.0	0.1	1.8	2.1	3546
ATCC_46645.canu.medaka	21	30595770	26100	4636661	1215006	1456941.43	5	1959733	13	940016	49.12	15	8	7	2	99.1	99.0	0.1	0.5	0.4	3546
ATCC_46645.canu.pilon	21	30594012	26103	4636672	1215044	1456857.71	5	1959777	13	939944	49.12	15	8	7	2	99.6	99.5	0.1	0.2	0.2	3546
ATCC_46645.necat	29	30638936	4988	4853727	434755	1056515.03	4	2796644	12	980199	49.17	12	6	6	NA	97.3	96.9	0.4	1.3	1.4	3546
ATCC_46645.necat.pilon	29	30624731	4995	4855259	425816	1056025.21	4	2792893	12	979796	49.18	12	6	6	NA	99.5	99.0	0.5	0.1	0.4	3546
B5233.canu	16	29031043	65617	4876241	1734094	1814440.19	4	3946386	9	1416007	49.24	16	8	8	NA	97.1	96.7	0.4	1.2	1.7	3546
B5233.canu.medaka	16	29045997	65675	4878766	1734999	1815374.81	4	3948285	9	1416675	49.25	16	8	8	6	99.6	99.4	0.2	0.1	0.3	3546
B5233.canu.pilon	16	29046268	65673	4878846	1734998	1815391.75	4	3948310	9	1416724	49.25	16	8	8	6	99.7	99.5	0.2	0.1	0.2	3546
B5233.necat	8	28588015	1734499	4877298	3947171	3573501.88	4	3947171	7	1823698	49.23	16	8	8	8	97.9	97.8	0.1	1.0	1.1	3546
B5233.necat.pilon	8	28595615	1734941	4878751	3948233	3574451.88	4	3948233	7	1824081	49.24	16	8	8	8	99.7	99.6	0.1	0.2	0.1	3546
CEA10.canu	81	32433801	5849	3797770	50220	400417.30	6	1941406	16	207852	48.96	19	8	11	NA	96.6	92.8	3.8	1.7	1.7	3546
CEA10.canu.medaka	81	32452954	5861	3800011	50343	400653.75	6	1942602	16	208006	48.97	19	8	11	2	99.4	95.8	3.6	0.3	0.3	3546
CEA10.canu.pilon	81	32446942	5861	3799923	50344	400579.53	6	1942560	16	207827	48.97	19	8	11	2	99.7	96.1	3.6	0.1	0.2	3546
CEA10.necat	22	29744737	16416	4893196	502192	1352033.50	4	3699352	9	1054069	49.35	13	6	7	1	97.7	97.6	0.1	1.1	1.2	3546
CEA10.necat.pilon	22	29716123	16416	4883541	502192	1350732.86	4	3699902	9	1054287	49.37	13	6	7	1	99.6	99.5	0.1	0.1	0.3	3546
D141.canu	27	28794049	12398	3937129	851355	1066446.26	5	2015887	15	780959	49.23	16	8	8	NA	95.5	95.4	0.1	2.1	2.4	3546
D141.canu.medaka	27	28815855	12455	3939923	852010	1067253.89	5	2017378	15	781457	49.24	16	8	8	1	99.0	98.9	0.1	0.6	0.4	3546
D141.canu.pilon	27	28816180	12454	3939961	852006	1067265.93	5	2017413	15	781453	49.24	16	8	8	1	99.7	99.6	0.1	0.1	0.2	3546
D141.necat	111	28544566	3159	1437847	130856	257158.25	15	590559	49	191239	49.24	15	6	9	NA	94.9	94.5	0.4	1.9	3.2	3546
D141.necat.pilon	111	28428422	3158	1433515	130916	256111.91	15	590756	50	182046	49.25	15	6	9	NA	98.5	98.1	0.4	0.2	1.3	3546
H237.canu	24	29272776	3921	4881602	228141	1219699.00	4	3844473	9	1560246	49.36	16	7	9	NA	96.5	95.5	1.0	1.5	2.0	3546
H237.canu.medaka	24	29289725	3927	4884329	228260	1220405.21	4	3846831	9	1561026	49.37	16	7	9	5	99.2	98.5	0.7	0.3	0.5	3546
H237.canu.pilon	24	29290054	3927	4884400	228253	1220418.92	4	3846868	9	1561047	49.37	16	7	9	5	99.7	98.9	0.8	0.1	0.2	3546
H237.necat	12	28754683	5241	4882824	2801385	2396223.58	4	3799917	8	1748947	49.40	16	9	7	6	97.6	97.5	0.1	1.1	1.3	3546
H237.necat.pilon	12	28763053	5243	4884353	2802250	2396921.08	4	3800984	8	1749447	49.41	16	9	7	6	99.8	99.7	0.1	0.1	0.1	3546
S02_30.canu	51	29187214	1039	4802622	2810	572298.31	4	3642828	9	1210096	49.56	16	8	8	NA	92.4	92.2	0.2	3.8	3.8	3546
S02_30.canu.medaka	51	29216958	1039	4807436	2822	572881.53	4	3646408	9	1211328	49.58	16	8	8	5	98.4	98.3	0.1	0.6	1.0	3546
S02_30.canu.pilon	51	29217302	1039	4807526	2822	572888.27	4	3646459	9	1211339	49.58	16	8	8	5	99.7	99.5	0.2	0.1	0.2	3546
S02_30.necat	14	28950695	3654	4780490	1309504	2067906.79	4	3800617	8	1292824	49.57	12	7	5	2	94.9	94.7	0.2	2.6	2.5	3546
S02_30.necat.pilon	14	28964543	3654	4782984	1309256	2068895.93	4	3802481	8	1293614	49.58	12	7	5	2	99.7	99.5	0.2	0.1	0.2	3546
TP9.canu	9	28350881	67119	4814967	3736398	3150097.89	4	3757288	7	1765296	49.36	16	8	8	NA	94.9	94.8	0.1	2.3	2.8	3546
TP9.canu.medaka	9	28372013	67189	4818536	3739276	3152445.89	4	3760027	7	1766427	49.37	16	8	8	8	98.8	98.7	0.1	0.6	0.6	3546
TP9.canu.pilon	9	28371457	67192	4818532	3739309	3152384.11	4	3760025	7	1766455	49.37	16	8	8	8	99.8	99.7	0.1	0.1	0.1	3546
TP9.necat	9	28340803	31712	4816452	3737613	3148978.11	4	3758398	7	1765824	49.40	15	7	8	7	96.2	96.1	0.1	1.7	2.1	3546
TP9.necat.pilon	9	28351057	31764	4818370	3739103	3150117.44	4	3759897	7	1766439	49.40	15	7	8	7	99.7	99.6	0.1	0.1	0.2	3546
W72310.canu	14	28258865	1208	4925659	1747439	2018490.36	4	3805451	8	1691543	49.88	15	7	8	NA	95.4	95.2	0.2	2.2	2.4	3546
W72310.canu.medaka	14	28278553	1217	4929274	1748536	2019896.64	4	3808349	8	1692728	49.88	15	7	8	5	99.2	99.0	0.2	0.3	0.5	3546
W72310.canu.pilon	14	28278427	1217	4929293	1748518	2019887.64	4	3808109	8	1692742	49.88	15	7	8	5	99.7	99.5	0.2	0.1	0.2	3546
W72310.necat	10	28161671	89940	4927167	3518781	2816167.10	4	3804853	8	1754794	49.94	16	8	8	7	96.7	96.4	0.3	1.6	1.7	3546
W72310.necat.pilon	10	28171959	89986	4929048	3520151	2817195.90	4	3806071	8	1755353	49.95	16	8	8	7	99.7	99.4	0.3	0.1	0.2	3546
